Año,2024,2023,2022,2021,2020,2019,2018,2017
Efectivo en caja,9348000,14189000,12416000,12163000,7618000,5055000,4292000,11204000
Cuentas por cobrar,4416000,3154000,2958000,2071000,2297000,3259000,3325000,2448000
Inventario,1760000,1898000,1925000,1297000,1003000,874000,1124000,1447000
Gastos pagados por adelantado,0,0,0,0,0,0,0,0
Otros activos corrientes,4071000,1606000,1205000,1055000,977000,729000,366000,724000
Total activos corrientes,19595000,20847000,18504000,16586000,11895000,9917000,9107000,15823000
"Propiedad, planta y equipo",2521000,2154000,2223000,2348000,2509000,2565000,2635000,2599000
Inversiones a largo plazo,0,0,0,0,0,0,0,0
Goodwill y activos intangibles,138456000,47520000,50725000,54824000,60229000,54268000,37675000,35538000
Otros activos a largo plazo,5073000,2340000,1797000,1812000,1300000,743000,707000,458000
Total activos a largo plazo,146050000,52014000,54745000,58984000,64038000,57576000,41017000,38595000
Total activos,165645000,72861000,73249000,75570000,75933000,67493000,50124000,54418000
Pasivos corrientes,16697000,7405000,7052000,6281000,6371000,6899000,2338000,2529000
Deuda a largo plazo,66295000,37621000,39075000,39440000,40235000,30011000,17493000,17431000
Otros pasivos no corrientes,14975000,3847000,4413000,4327000,5462000,5613000,3636000,11272000
Pasivos a largo plazo totales,81270000,41468000,43488000,44327000,45628000,35683000,23467000,28003000
Total pasivos,97967000,48873000,50540000,50608000,52059000,42552000,23467000,31232000
Capital social neto,5000,4000,0,0,0,0,0,20505000
Ganancias retenidas (déficit acumulado),0,2682000,1604000,748000,0,0,3487000,-129000
Ingreso integral,207000,207000,-54000,-116000,-108000,-140000,-115000,-91000
Patrimonio de los accionistas,67678000,23988000,22709000,24962000,23874000,24941000,26657000,23186000
Pasivos + patrimonio neto,165645000,72861000,73249000,75570000,75933000,67493000,50124000,54418000
