Año,2024,2023,2022,2021,2020,2019,2018,2017
Utilidad Neta,5895000,14082000,11495000,6736000,2960000,2724000,12610000,1784000
Depreciación y Amortización,10010000,3835000,4984000,6041000,6905000,4051000,4081000,4737000
Otros Ajustes No Monetarios,8694000,1811000,1911000,1114000,1103000,1349000,-6855000,1116000
Total Ajustes No Monetarios,18704000,5646000,6895000,7155000,8008000,7157000,-2774000,5753000
Cambio en Cuentas por Cobrar,2327000,-187000,-275000,210000,981000,486000,-565000,-267000
Cambio en Inventarios,150000,27000,-627000,-294000,-31000,250000,417000,397000
Cambio en Cuentas por Pagar,121000,209000,-79000,243000,-3000,-42000,-325000,-87000
Cambio en Activos/Pasivos,-7313000,-1413000,-2144000,-472000,1093000,-184000,-956000,-986000
Total Cambio en Activos/Pasivos,-4637000,-1643000,-1654000,-127000,1093000,-184000,-956000,-986000
Flujo Neto de Operación,19962000,18085000,16736000,13764000,12061000,9697000,8880000,6551000
"Cambio Neto en Propiedad, Planta y Equipo",-548000,-452000,-424000,-443000,-463000,-344000,-396000,-628000
Cambio Neto en Intangibles,0,0,0,0,0,0,0,0
Adquisiciones/Desinversiones Netas,-22493000,-53000,-246000,37000,-10654000,-15076000,-4027000,-3064000
Cambio Neto en Inversiones Corto Plazo,0,0,0,0,0,0,0,0
Cambio Neto en Inversiones Largo Plazo,-19000,-118000,0,169000,0,0,-249000,-7000
Total Actividades de Inversión,-23070000,-689000,-667000,-245000,-11109000,-15422000,-4674000,-6700000
Cambio Neto en Deuda a Largo Plazo,20346000,-403000,-426000,-1591000,7703000,13234000,-973000,3758000
Emisión/Retiro Neto de Deuda,20346000,-403000,-426000,-1591000,7703000,13234000,-973000,3758000
Recompra Emisión Neta de Acciones,-12202000,-7563000,-8341000,-1129000,-489000,-2475000,-7102000,-257000
Total Dividendos Pagados,-9814000,-7645000,-7032000,-6212000,-5534000,-4235000,-2998000,-1745000
Flujo Neto de Financiamiento,1373000,-15263000,-15173000,-8974000,6111000,6488000,-11118000,2250000
Flujo Neto de Efectivo,4841000,1773000,253000,4545000,3663000,-6912000,-222000,801000
Compensación Basada en Acciones,5741000,2171000,1533000,1704000,2185000,1227000,992000,921000
Dividendos Comunes Pagados,-9814000,-7645000,-7032000,-6212000,-5534000,-4235000,-2998000,-1745000
