Año,2021,2022,2023,2024,2025,2026,2027,2028,2029
Efectivo y Equivalentes al Efectivo/,12163000,12416000,14189000,9348000,12029000,12029000,12029000,12029000,12029000
Cuentas por Cobrar Comerciales/,2071000,2958000,3154000,4416000,5008630,6224425,7735340,9613015,11946477
Otras Cuentas por Cobrar/,0,0,499000,1916000,1916000,1916000,1916000,1916000,1916000
Anticipos/,539000,864000,743000,1391000,1391000,1391000,1391000,1391000,1391000
Inventarios/,1297000,1925000,1898000,1760000,3088992,3838813,4770646,5928672,7367796
Total Activos Corrientes/,16586000,18504000,20847000,1959o5000,23433622,25399238,27841986,30877687,34650273
Otras Cuentas por Cobrar/,1812000,1797000,2340000,5073000,5073000,5073000,5073000,5073000,5073000
"Propiedades, Planta y Equipo/",2348000,2223000,2154000,2521000,2676862,3326642,4134151,5137674,6384792
Activos Intangibles Distintos de la Plusvalía/,11374000,7111000,3867000,40583000,4805675,5972204,7421895,9223485,11462392
Plusvalía/,43450000,43614000,43653000,97873000,97873000,97873000,97873000,97873000,97873000
Total Activos No Corrientes/,58984000,54745000,52014000,146050000,110428536,112244846,114502046,117307159,120793184
TOTAL ACTIVOS/,75570000,73249000,72861000,165645000,133862159,137644084,142344032,148184846,155443458
Otros Pasivos Financieros/ DEUDA BANCOS,290000,440000,1608000,1271000,1090757,775970,1218473,1177919,1232972
Cuentas por Pagar Comerciales/,1627000,1678000,1683000,2382000,3041492,3779783,4697287,5837505,7254501
Provisión por Beneficios a los Empleados/,1066000,1202000,935000,1971000,1971000,1971000,1971000,1971000,1971000
Total Pasivos Corrientes/,6281000,7052000,7405000,16697000,6103249,6526753,7886760,8986424,10458473
Otros Pasivos Financieros/ DEUDA BANCOS,39400000,39075000,37621000,66295000,81929437,101664974,101305974,101416974,101416974
Pasivos por Impuestos Diferidos/,0,0,99000,4703000,4703000,4703000,4703000,4703000,4703000
Total Pasivos No Corrientes/,44300000,43488000,41468000,81270000,86632437,106367974,106008974,106119974,106119974
Total Pasivos/,50581000,50540000,48873000,97967000,92735686,112894727,113895734,115106398,116578447
Capital Emitido/,27000,0,4000,5000,847192,847192,847192,847192,847192
Acciones de Inversión/,27000,0,0,0,7388,7388,7388,7388,7388
Otras Reservas de Capital/,24330000,21159000,21095000,67466000,165368,165368,165368,165368,165368
Resultados Acumulados/,748000,1604000,2682000,0,21202589,47583838,80854535,123145479,176647495
Total Patrimonio/,24989000,22709000,23988000,67678000,22222537,48603786,81874483,124165427,177667443
TOTAL PASIVOS Y PATRIMONIO/,75570000,73249000,72861000,165645000,114958223,161498512,195770217,239271825,294245890
