Año,2024,2023,2022,2021,2020,2019,2018,2017
Ingresos,51574000,35819000,33203000,27450000,23888000,22597000,20848000,17636000
Costo de Ventas,19065000,11129000,11108000,10606000,10372000,10114000,10115000,9127000
Utilidad Bruta,32509000,24690000,22095000,16844000,13516000,12483000,10733000,8509000
Gastos de I+D,9310000,5253000,4919000,4854000,4968000,4696000,3768000,3302000
Gastos SG&A,4959000,1592000,1382000,1347000,1935000,1709000,1056000,789000
Otros Ingresos/Gastos Operativos,0,0,0,0,0,0,0,0
Gastos Operativos,19046000,8483000,7870000,8325000,9502000,9039000,5598000,6138000
Utilidad Operativa,13463000,16207000,14225000,8519000,4014000,3444000,5135000,2371000
Total Ingresos/Gastos No Operativos,-3547000,-1110000,-1791000,-1754000,-1571000,-1218000,-590000,-546000
Utilidad Antes de Impuestos,9916000,15097000,12434000,6765000,2443000,2226000,4545000,1825000
Impuestos a la Renta,3748000,1015000,939000,29000,-518000,-510000,-8084000,35000
Utilidad Después de Impuestos,6168000,14082000,11495000,6736000,2961000,2736000,12629000,1790000
Otros Ingresos,0,0,0,0,0,0,0,0
Utilidad de Operaciones Continuas,6168000,14082000,11495000,6736000,2961000,2736000,12629000,1790000
Utilidad de Operaciones Discontinuadas,-273000,0,0,0,0,0,0,-6000
Utilidad Neta,5895000,14082000,11223000,6437000,2663000,2695000,12259000,1784000
EBITDA,23473000,20042000,19309000,14560000,10919000,9252000,9316000,7108000
EBIT,13463000,16207000,14225000,8519000,4014000,3444000,5135000,2371000
Acciones Básicas en Circulación,4624000,4149000,4089000,4100000,4020000,3980000,4180000,4100000
Acciones en Circulación,4778000,4272000,4232000,4290000,4210000,4190000,4340000,4260000
EPS Básico,1270,3390,2740,1570,660,680,2930,420
EPS - Ganancia por Acción,1230,3300,2650,1500,630,640,2840,400
